"","Time","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","Amount","Class"
"254149",156600,0.332229350063518,0.240050615024376,0.719666042978833,-0.361131591867917,0.0568619278536207,0.721366797411451,-0.410370517628167,-0.674874202550149,0.474997895617482,-0.525913456919613,-0.0839118466685797,1.2212520273431,1.19304238854207,-0.174085920332316,-0.27350353889832,0.404615996214213,-1.04780127594612,1.03087061210052,0.546065648819133,-0.0895274452060535,1.01385946318509,0.638273822685881,-0.461599985195235,-0.964959738083757,0.903335682370383,0.0331268223821597,0.234662032049753,0.240685833594025,0.129414062816719,0
"25789",33765,-1.72996537074316,1.78246862215809,0.514735618849666,0.380712673256449,-1.50279855530446,-0.689028908334011,-0.235623818358486,1.1179977539999,-0.351712864078515,-0.955868996052909,-0.988692864521594,1.07504429746081,0.638656014819236,0.45334195601768,-0.849059285050655,-0.264874923158365,0.659089405140505,-0.469750893198874,0.186996646067384,-0.292638969478041,0.154666657548319,0.370125393435597,0.0228642749800413,0.783728599692405,-0.107613663334503,0.323836002507975,-0.249032547427762,-0.005708402917367,0.256138225944407,0
"264931",161659,2.14635025657648,-1.11090161000485,-0.788804009869393,-1.07756708822178,-0.778162506837721,0.115768872267102,-1.19060116692083,0.151016840703076,0.00807183102616554,0.923019654908458,0.326355985408265,-0.380593851569749,-0.524234078578217,-0.179342889294878,-0.369319558098838,1.5386261891727,-0.257534452548313,-0.381832177844082,0.915923556544837,-0.0097773949265118,0.335266482839142,0.931665835742577,0.106200135138099,0.296685477076692,-0.130117659351626,-0.112012262468805,-0.00517968771866981,-0.0557912642352809,0.0851801568193185,0
"261196",159910,1.65838867637562,-1.89187717270688,-1.43854901199015,-0.814651065896503,-1.16491969288615,-0.616662100697777,-0.280408697675094,-0.168868317395861,0.245189311727899,0.501961549994269,0.199727879232805,0.568462871917648,-1.00331330161285,0.142768650818942,-1.91059845677164,-2.36348080963629,0.528687220310006,1.05567007240903,0.141789238606904,-0.194934058389446,-0.130655418832912,-0.0900449158921444,-0.118743475360487,0.091208682206812,-0.0886950827383504,1.05368972939114,-0.115547942500869,-0.0457640509610169,1.06742051152028,0
"272466",165102,2.0644864368682,0.156233685396136,-1.69299432329746,0.414928243913846,0.442849812978628,-0.807866591866968,0.177246366437453,-0.217033923842463,0.478068601344063,-0.389188575248971,-0.481795082009703,0.219260824542802,0.140607506246588,-0.854099714910372,0.241615514534242,0.246977106575286,0.533646272291578,-0.414681672154823,-0.0285060503328755,-0.157533749147759,-0.356198837071344,-0.909780023719219,0.348417642227313,0.510861496851401,-0.273485607020257,0.175028261750648,-0.0589462505050799,-0.030585599784072,0.00764273086248522,0
"41954",40894,-0.589200088906883,1.06591002360505,1.26751276749069,0.204531497432493,0.0467481975700254,-0.398757549633703,0.420435702630984,0.170654872440319,-0.428450875063447,-0.0430108256535307,0.901035046536178,-0.630245098609469,-1.86912422435124,0.182058794291577,0.814208682093116,0.468322830844594,0.00299584183441273,0.800933777833758,1.04352248768521,0.0880412686699518,-0.21631362380156,-0.699669862459939,-0.0726434270914672,-0.0900781781203201,-0.388749011483341,0.165651046508245,0.184537340273277,0.174903107882566,0.0127663493177826,0
"67958",52766,1.3919100316385,-0.500523296146202,0.453927137088004,-0.860226822485804,-0.920561024836834,-0.539507180962783,-0.678312584883735,-0.01086144245852,-0.972500127372024,0.788542643956171,1.18005614890098,-0.101159405061022,-0.109976640923241,0.0756730155190084,0.167415466022978,1.54046112688128,-0.137466230689606,-0.945842654463844,1.02436868160332,0.0677445495463301,-0.0699692685912922,-0.365258767226964,0.0881323453361235,-0.0180741214862597,0.235702128061738,-0.477556157720464,0.00464093246288626,0.00821689711999474,0.0263866350447814,0
"138729",82815,0.741775293716759,-1.29875230363876,0.810938677763773,0.404669574490968,-1.46782256572067,0.0993741709928805,-0.620600097337037,0.288317132963014,1.582305621637,-0.519664314572589,-1.02710584135676,-0.75730640074213,-2.6901127410721,0.0567795345270945,0.271201166913443,-0.257906859706544,0.582996074900404,-0.713957792510381,0.055153031602126,0.166178245429713,-0.103971613376097,-0.634062138849493,-0.0514346548594216,0.0987146479942184,-0.107971438862137,0.957396678668614,-0.0763136369549838,0.043509196965179,0.9746830174794,0
"128992",78916,0.990215758504127,-0.620557436647343,1.27090396383728,1.40602915790449,-0.589805286002284,1.97876347509405,-1.14726410468051,0.653471331252383,1.4816760326403,-0.292152337453232,-0.548232364845989,1.29959210576562,0.14117030948694,-0.971314176124976,-1.98198636860858,-0.281442129043192,-0.0929948919323129,0.186580994672562,0.529371278398314,-0.0359292706183059,-0.0328521359013535,0.319338024611637,-0.270115700488924,-1.09792429659953,0.599700707476327,-0.145977861724728,0.11235960440654,0.0224524339093297,0.250630336104962,0
"15888",27329,-0.540507865044404,1.16734246653959,1.4056888528486,2.09503170840382,1.02688519802498,0.527921280405636,1.3377034936182,-0.343445339148714,-1.42356445083768,1.30264741059493,0.970120380578756,-0.821939861038163,-1.60407752648391,0.50165717770899,0.378981671951045,-0.270832248138015,-0.320007242564026,0.0655813663249332,0.34684896719218,0.0349517905831627,0.0394495185676555,0.289623909828122,-0.35441216672237,-0.325985564303631,0.00687220626741991,0.144670639418692,-0.520867544675458,-0.336979571635038,0.164041184210437,0
